"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","1000.0","320WM925366","","50000.0","Barnet","20191.0","43117.0"
"","1000.0","172VZ434103","","30000.0","South Scotland","5000.0","40437.0"
"","1000.0","404HR620244","","50000.0","Preston","49990.0","44035.0"
"","1000.0","325ME547050","","50000.0","South Gloucestershire","12000.0","43172.0"
"","1000.0","433ER527472","","15002.0","Wales","15000.0","44215.0"
"","1000.0","77ER457533","","20000.0","South West Wales","5000.0","37834.0"
"","1000.0","440SD556593","","10000.0","Essex","10000.0","44251.0"
"","1000.0","347SP793038","","50000.0","Manchester","30000.0","43455.0"
"","1000.0","350VX098266","","50000.0","East Riding of Yorkshire","24900.0","43493.0"
"","1000.0","77QE809828","","1000.0","South Gloucestershire","1000.0","37712.0"
"","1000.0","399JT023906","","50000.0","Hampshire and Isle of Wight","20000.0","44004.0"
"","1000.0","328LA716879","","50000.0","East Sussex","25000.0","43211.0"
"","1000.0","396GT475172","","49000.0","Lancashire","49000.0","43982.0"
"","1000.0","434CL163122","","5400.0","West Midlands","5400.0","44219.0"
"","1000.0","382TR627287","","43555.0","Outer London","20000.0","43867.0"
"","1000.0","400WM576979","","50000.0","North Yorkshire","16500.0","44012.0"
"","1000.0","82EC378788","","451.0","Central Scotland","400.0","38553.0"
"","1000.0","439ZZ221306","","50000.0","North Yorkshire","49900.0","44247.0"
"","1000.0","198NF604866","","35400.0","Hertfordshire","2500.0","41206.0"
"","1000.0","246HQ726927","","50000.0","Essex","7175.0","42153.0"
"","1000.0","281DY586202","","50000.0","Cambridgeshire","50000.0","42624.0"
"","1000.0","243BQ534715","","1000.0","Cumbria","1000.0","42084.0"
"","1000.0","454SZ335693","","20200.0","Bedfordshire","20000.0","44331.0"
"","1000.0","400TG221983","","47710.0","Norwich","5000.0","44011.0"
"","1000.0","48CT231998","","50000.0","Avon","2000.0","35004.0"
"","1000.0","81BB258361","","30050.0","North East Scotland","5000.0","35521.0"
"","1000.0","425ZN032767","","50000.0","South Yorkshire","50000.0","44167.0"
"","1000.0","207YA224935","","50000.0","Devon","20000.0","41450.0"
"","1000.0","354BX555311","","50000.0","Lancashire","10675.0","43530.0"
"","1000.0","404TV227607","","3500.0","Manchester","50.0","44038.0"
"","1000.0","176ER358398","","30000.0","Northern Ireland","2000.0","40533.0"
"","1000.0","282BA103014","","5125.0","Kent","1334.0","42635.0"
"","1000.0","440FE922431","","50000.0","Havering","25000.0","44245.0"
"","1000.0","325DN561575","","22888.0","Outer London","22000.0","43166.0"
"","1000.0","213LD203120","","100.0","Cardiff and Vale of Glamorgan","100.0","41572.0"
"","1000.0","315GB791457","","50000.0","Glasgow, City of","33470.0","43043.0"
"","1000.0","396AX418456","","50000.0","Outer London","40000.0","43980.0"
"","1000.0","318YE315472","","50000.0","Gloucestershire","50000.0","43089.0"
"","1000.0","39BA754348","","36001.0","Cheshire East","1000.0","36800.0"
"","1000.0","433ET794813","","50000.0","Cornwall","44000.0","44215.0"
"","1000.0","318WH065934","","48672.0","Gloucestershire","45872.0","43089.0"
"","1000.0","354JL802683","","50000.0","Surrey","50000.0","43535.0"
"","1000.0","377XE593636","","30000.0","Merseyside","15000.0","43816.0"
"","1000.0","450VG869247","","50000.0","Shropshire","49900.0","44307.0"
"","1000.0","430NJ497207","","35000.0","Overseas","2000.0","44199.0"
"","1000.0","426NW538851","","23675.0","Manchester","5500.0","44171.0"
"","1000.0","283RZ117645","","20000.0","Wiltshire","20000.0","42653.0"
"","1000.0","145DE645409","","30000.0","Hertfordshire","5000.0","39729.0"
"","1000.0","299CK413545","","50000.0","Croydon","20000.0","42824.0"
"","1000.0","376JR933215","","50000.0","Northamptonshire","10000.0","43798.0"
"","1000.0","245VQ294113","","44000.0","South Scotland","30000.0","42144.0"
"","1000.0","343HR814933","","50000.0","Inner London","5000.0","43401.0"
"","1000.0","406MD249292","","50000.0","Essex","50000.0","44046.0"
"","1000.0","375LJ364055","","50000.0","West Sussex","50000.0","43788.0"
"","1000.0","413FF353304","","50000.0","Berkshire","40000.0","44091.0"
"","1000.0","417XG150511","","50000.0","Kirklees","20000.0","44120.0"
"","1000.0","80GE667463","","50000.0","North East Scotland","5000.0","36739.0"
"","1000.0","164DX304255","","30000.0","Cheshire West and Chester","5000.0","40203.0"
"","1000.0","287TC296938","","45000.0","Warwickshire","20000.0","42694.0"
"","1000.0","269MX495527","","30000.0","Highlands and Islands","10000.0","42452.0"
"","1000.0","348QT249016","","31548.0","Overseas","25.0","43467.0"
"","1000.0","274SF020096","","50000.0","Outer London","50000.0","42533.0"
"","1000.0","361NP548341","","50000.0","Suffolk","50000.0","43624.0"
"","1000.0","413PQ815120","","50000.0","Norwich","50000.0","44095.0"
"","1000.0","290ET647145","","50000.0","North Yorkshire","18600.0","42719.0"
"","1000.0","348QV675451","","5040.0","Overseas","25.0","43467.0"
"","1000.0","450GT642104","","50000.0","London","10000.0","44305.0"
"","1000.0","381AE092785","","50000.0","Shropshire","50000.0","43853.0"
"","1000.0","463PT448066","","50000.0","Inner London","12925.0","44397.0"
"","1000.0","334GF329016","","45000.0","Brighton and Hove","9998.0","43286.0"
"","1000.0","463TS837231","","50000.0","Surrey","35000.0","44398.0"
"","1000.0","354YW978964","","39000.0","Essex","23300.0","43539.0"
"","1000.0","460BZ876985","","50000.0","West Sussex","50000.0","44369.0"
"","1000.0","287VH844941","","50000.0","Buckinghamshire","50000.0","42692.0"
"","1000.0","110KV525040","","49908.0","Lincolnshire","1000.0","38859.0"
"","1000.0","456FJ882644","","45500.0","Wiltshire","45500.0","44341.0"
"","1000.0","391CN098137","","40125.0","Bedfordshire","3000.0","43948.0"
"","1000.0","305TT080459","","50000.0","Kent","50000.0","42919.0"
"","1000.0","253KP312258","","50000.0","North Yorkshire","15000.0","42226.0"
"","1000.0","409LG953887","","25000.0","Wales","25000.0","44067.0"
"","1000.0","378DX768848","","48425.0","Lancashire","47500.0","43819.0"
"","1000.0","166KF204491","","24000.0","Oxfordshire","5000.0","40266.0"
"","1000.0","370LX938225","","50000.0","Norfolk","18000.0","43733.0"
"","1000.0","71CW922549","","30000.0","Somerset","2000.0","35947.0"
"","1000.0","177CN424812","","50000.0","Nottinghamshire","23500.0","40568.0"
"","1000.0","163LD488879","","35042.0","Essex","500.0","40184.0"
"","1000.0","341ZK710618","","30004.0","Essex","30000.0","43384.0"
"","1000.0","248RB671666","","50000.0","Hampshire and Isle of Wight","9975.0","42174.0"
"","1000.0","267HE786656","","50000.0","Devon","50000.0","42423.0"
"","1000.0","320RX532125","","40250.0","Croydon","8000.0","43113.0"
"","1000.0","308FJ734997","","30000.0","Inner London","30000.0","42951.0"
"","1000.0","55NA991073","","50000.0","Ealing","5000.0","37104.0"
"","1000.0","226EP715240","","50000.0","Wiltshire","30000.0","41825.0"
"","1000.0","393BA918061","","49975.0","Bromley","40000.0","43961.0"
"","1000.0","278AZ713540","","49550.0","Derby","25.0","42583.0"
"","1000.0","220FK145673","","10000.0","Hertfordshire","10000.0","41745.0"
"","1000.0","255BJ929806","","35925.0","Essex","25.0","42248.0"
"","1000.0","57QN739288","","20000.0","Warwickshire","5000.0","35156.0"
"","1000.0","346CP155234","","50000.0","Devon","1000.0","43433.0"
"","1000.0","295HH195765","","40000.0","Somerset","40000.0","42779.0"
"","1000.0","217JY270611","","9363.0","Oxfordshire","8713.0","41673.0"
"","1000.0","287SZ325035","","50000.0","Bromley","50000.0","42694.0"
"","1000.0","218DG727916","","30000.0","Gloucestershire","30000.0","41696.0"
"","1000.0","196CX459312","","5000.0","Surrey","5000.0","41141.0"
"","1000.0","253PC471852","","50000.0","York","50000.0","42228.0"
"","1000.0","420MD519790","","50000.0","Cumbria","49975.0","44138.0"
"","1000.0","354GM271528","","5000.0","Sheffield","5000.0","43533.0"
"","1000.0","232CH070972","","27702.0","Lancashire","25000.0","41908.0"
"","1000.0","128XV449250","","200.0","Devon","200.0","39248.0"
"","1000.0","285TV846381","","48000.0","Gloucestershire","10000.0","42671.0"
"","1000.0","360WV821307","","50000.0","Dorset","50000.0","43615.0"
"","1000.0","25LH492074","","6800.0","Lancashire","100.0","37956.0"
"","1000.0","116FR687558","","50000.0","Essex","5000.0","39001.0"
"","1000.0","320KF447980","","50000.0","Inner London","50000.0","43096.0"
"","1000.0","402DT709560","","50000.0","Kent","39900.0","44019.0"
"","1000.0","442YT473533","","23025.0","Overseas","2400.0","44261.0"
"","1000.0","184NM118996","","20000.0","Essex","20000.0","40802.0"
"","1000.0","148QP247001","","14000.0","West Yorkshire","5000.0","39801.0"
"","1000.0","418QD033394","","30000.0","Cumbria","15000.0","44127.0"
"","1000.0","194NC432139","","30000.0","Cambridgeshire","10000.0","41094.0"
"","1000.0","201MD390278","","50000.0","Croydon","30000.0","41296.0"
"","1000.0","106DD529634","","31500.0","Greater Manchester","2000.0","38754.0"
"","1000.0","349ME769346","","30000.0","South Scotland","5000.0","43479.0"
"","1000.0","200EA742511","","15725.0","Outer London","10000.0","41254.0"
"","1000.0","452JQ664529","","41180.0","Hampshire and Isle of Wight","24000.0","44316.0"
"","1000.0","15MW545960","","49997.0","Gloucestershire","5000.0","34455.0"
"","1000.0","423SQ919771","","11000.0","Gloucestershire","9500.0","44159.0"
"","1000.0","324LB402599","","50000.0","South Scotland","49579.0","43154.0"
"","1000.0","261KV428968","","50000.0","Buckinghamshire","20000.0","42337.0"
